order_id,order_date,customer_id,customer_segment,customer_type,region,city,product_category,product_subcategory,payment_method,campaign_source,quantity,unit_price,discount_pct,shipping_days,returned
O2025036,2025-10-20,C1164,Corporate,Returning,East,Linkoping,Beauty,Haircare,Invoice,Paid Search,1,46.61,0.085,3.0,No
O2025037,2025-05-23,C1252,Corporate,Returning,North,Uppsala,Electronics,Laptop,Card,Email,1,1349.83,0.073,3.0,No
O2025038,2025-07-12,C1214,Corporate,Returning,South,Lund,Fashion,Shoes,PayPal,Email,1,160.73,0.063,4.0,Yes
O2025039,2025-09-02,C1243,Consumer,Returning,East,Linkoping,Electronics,Headphones,Invoice,Paid Search,1,49.76,0.073,,No
O2025040,2025-11-18,C1228,Small Business,Returning,West,Halmstad,Fashion,Shoes,Invoice,Paid Search,1,96.19,0.112,1.0,No
O2025041,2025-04-09,C1221,Consumer,Returning,West,Halmstad,Beauty,Skincare,Invoice,Affiliate,1,9.17,0.085,1.0,No
O2025042,2025-11-29,C1110,Corporate,Returning,East,Norrkoping,Home,Furniture,Card,Email,2,601.47,0.21,5.0,No
O2025043,2025-02-13,C1131,Small Business,Returning,North,Vasteras,Electronics,Laptop,Card,Social,1,1094.44,0.079,4.0,No
O2025044,2025-06-13,C1036,Consumer,New,North,Stockholm,Home,Furniture,Gift Card,Affiliate,2,809.42,0.128,5.0,No
O2025045,2025-02-05,C1229,Corporate,Returning,North,Stockholm,Fashion,Accessories,Gift Card,Direct,1,37.1,0.053,2.0,No
O2025046,2025-07-10,C1234,Consumer,New,East,Orebro,Electronics,Tablet,Invoice,Organic,1,817.81,0.02,4.0,No
O2025047,2025-10-17,C1115,Consumer,VIP,East,Linkoping,Electronics,Laptop,PayPal,Organic,1,818.25,0.168,3.0,No
O2025048,2025-08-14,C1218,Consumer,VIP,North,Vasteras,Electronics,Tablet,Gift Card,Direct,1,574.82,0.181,1.0,No
O2025049,2025-10-18,C1224,Corporate,Returning,East,Linkoping,Home,Kitchen,Card,Social,1,76.54,0.013,7.0,Yes
O2025050,2025-04-26,C1040,Consumer,Returning,East,Linkoping,Beauty,Fragrance,Card,Direct,1,91.81,0.027,4.0,Yes
O2025051,2025-03-21,C1038,Consumer,Returning,North,Stockholm,Beauty,Skincare,Swish,Organic,1,54.84,0.129,1.0,No
O2025052,2025-02-16,C1090,Consumer,Returning,West,Gothenburg,Home,Kitchen,Invoice,Social,2,121.12,0.056,6.0,No
O2025053,2025-06-09,C1045,Small Business,Returning,North,Uppsala,Home,Decor,Card,Direct,2,103.64,0.005,2.0,No
O2025054,2025-01-12,C1132,Corporate,Returning,West,Boras,Beauty,Skincare,Invoice,Organic,1,43.04,0.098,3.0,Yes
O2025055,2025-06-27,C1155,Corporate,New,South,Helsingborg,Beauty,Fragrance,Swish,Affiliate,1,70.19,0.076,6.0,No
O2025056,2025-03-12,C1222,Consumer,Returning,East,Linkoping,Home,Kitchen,Card,Email,1,91.02,0.159,5.0,No
O2025057,2025-08-30,C1127,Small Business,VIP,West,Gothenburg,Sports,Outdoor,Swish,Social,1,268.75,0.11,3.0,No
O2025058,2025-02-06,C1248,Consumer,New,West,Boras,Electronics,Laptop,Swish,Social,1,1128.65,0.008,5.0,No
O2025059,2025-04-17,C1208,Consumer,Returning,North,Stockholm,Home,Furniture,Card,Social,1,613.04,0.0,4.0,No
O2025060,2025-02-09,C1211,Consumer,New,North,Uppsala,Beauty,Makeup,Card,Paid Search,1,52.95,,3.0,No
O2025061,2025-03-29,C1047,Consumer,Returning,East,Norrkoping,Fashion,Jackets,Swish,Organic,1,70.13,0.011,6.0,No
O2025062,2025-01-09,C1225,Small Business,Returning,North,Stockholm,Fashion,Jackets,Card,Paid Search,3,148.78,0.061,1.0,No
O2025063,2025-11-21,C1127,Small Business,VIP,West,Gothenburg,Fashion,Jackets,Swish,Organic,2,270.44,0.036,2.0,No
O2025064,2025-02-13,C1231,Corporate,New,North,Uppsala,Home,Decor,Invoice,Email,1,79.08,0.133,5.0,Yes
O2025065,2025-04-08,C1194,Consumer,New,North,Uppsala,Home,Furniture,Card,Organic,2,611.76,0.072,4.0,No
O2025066,2025-10-08,C1036,Consumer,New,North,Stockholm,Sports,Outdoor,Card,Email,1,108.56,0.005,3.0,No
O2025067,2025-03-27,C1158,Corporate,New,North,Stockholm,Beauty,Fragrance,Gift Card,Paid Search,1,78.71,0.087,4.0,No
O2025068,2025-09-24,C1210,Small Business,New,North,Uppsala,Home,Kitchen,Card,Organic,1,157.71,0.0,2.0,No
O2025069,2025-09-30,C1192,Corporate,Returning,West,Gothenburg,Home,Decor,Swish,Organic,1,90.97,0.038,6.0,No
O2025070,2025-02-17,C1052,Consumer,Returning,West,Boras,Fashion,Shoes,Card,Affiliate,2,102.38,0.085,3.0,Yes
O2025071,2025-04-16,C1006,Consumer,VIP,East,Orebro,Home,Lighting,Card,Organic,2,176.2,0.122,6.0,No
O2025072,2025-05-24,C1238,Small Business,Returning,West,Gothenburg,Beauty,Skincare,Invoice,Email,1,74.4,0.109,3.0,No
O2025073,2025-03-25,C1041,Consumer,Returning,South,Lund,Fashion,Sportswear,Swish,Social,2,84.29,0.0,,No
O2025074,2025-04-23,C1130,Consumer,VIP,South,Lund,Fashion,Sportswear,Swish,Organic,2,75.82,0.101,3.0,No
O2025075,2025-05-25,C1087,Consumer,Returning,West,Halmstad,Sports,Team Sports,Invoice,Email,2,166.61,0.208,5.0,Yes
O2025076,2025-08-07,C1107,Consumer,VIP,South,Malmo,Home,Decor,Card,Direct,1,45.05,0.109,3.0,No
O2025077,2025-10-15,C1076,Consumer,New,North,Uppsala,Electronics,Headphones,Invoice,Paid Search,1,118.48,0.038,4.0,No
O2025078,2025-10-01,C1008,Consumer,Returning,West,Boras,Beauty,Fragrance,Swish,,2,74.27,0.047,2.0,No
O2025079,2025-01-19,C1106,Consumer,Returning,North,Stockholm,Home,Lighting,Invoice,Social,1,103.6,0.0,4.0,No
O2025080,2025-02-14,C1116,Consumer,Returning,North,Uppsala,Electronics,Mobile,Card,Paid Search,2,146.91,0.019,3.0,No
O2025081,2025-11-21,C1214,Corporate,Returning,South,Lund,Electronics,Laptop,Gift Card,Organic,1,750.58,0.085,4.0,No
O2025082,2025-09-26,C1150,Consumer,VIP,East,Norrkoping,Fashion,Jackets,Card,Social,1,159.28,0.166,2.0,No
O2025083,2025-11-18,C1109,Small Business,Returning,South,Helsingborg,Electronics,Tablet,Swish,Email,1,620.92,0.054,3.0,No
O2025084,2025-03-17,C1079,Consumer,VIP,East,Linkoping,Sports,Cycling,Invoice,Email,1,566.87,0.205,7.0,No
O2025085,2025-11-29,C1240,Consumer,Returning,South,Lund,Sports,Fitness,card,Paid Search,2,155.43,0.009,5.0,No
O2025086,2025-10-31,C1193,Corporate,Returning,North,Uppsala,Beauty,Makeup,,Paid Search,2,28.57,0.085,1.0,No
O2025087,2025-07-19,C1166,Consumer,New,South,Helsingborg,Electronics,Headphones,Invoice,direct,1,33.82,0.089,6.0,No
O2025088,2025-08-03,C1047,Consumer,Returning,East,Norrkoping,Electronics,Headphones,Card,Social,1,161.95,0.027,4.0,No
O2025089,2025-01-01,C1251,Small Business,Returning,West,Boras,Home,Furniture,Card,Social,1,659.88,0.059,4.0,No
O2025090,2025-06-29,C1220,Consumer,Returning,West,Halmstad,Home,Decor,Gift Card,Paid Search,1,89.25,0.117,5.0,No
O2025091,2025-04-15,C1187,Consumer,Returning,North,Vasteras,Electronics,Tablet,Card,Email,1,426.85,0.194,2.0,No
O2025092,2025-08-01,C1207,Consumer,New,North,Stockholm,Home,Decor,Card,Social,1,87.2,0.099,3.0,No
O2025093,2025-07-19,C1137,Consumer,New,West,Boras,Beauty,Skincare,Invoice,Social,1,18.32,0.025,,Yes
O2025094,2025-04-04,C1170,Consumer,Returning,West,Halmstad,Electronics,Mobile,Card,Affiliate,1,399.76,0.016,5.0,No
O2025095,2025-01-21,C1099,Consumer,Returning,North,Vasteras,Beauty,Skincare,Invoice,Direct,1,51.24,0.049,4.0,No
O2025096,2025-02-21,C1188,Small Business,Returning,North,Uppsala,Beauty,Fragrance,Card,Email,1,121.41,0.143,5.0,No
O2025097,2025-06-30,C1093,Small Business,Returning,West,Boras,Fashion,Shoes,Swish,Affiliate,1,116.99,0.161,2.0,No
O2025098,2025-09-11,C1063,Consumer,Returning,North,Uppsala,Home,Kitchen,Card,Direct,1,76.97,0.064,4.0,No
O2025099,2025-07-09,C1247,Corporate,Returning,West,Halmstad,Beauty,Fragrance,PayPal,Organic,4,90.24,,1.0,No
O2025100,2025-08-21,C1148,Consumer,Returning,East,Norrkoping,Sports,Cycling,Invoice,Paid Search,2,295.7,0.01,3.0,No
O2025101,2025-01-28,C1006,Consumer,VIP,East,Orebro,Electronics,Laptop,Card,Social,1,884.2,,5.0,No
O2025102,2025-10-14,C1062,Consumer,VIP,South,Helsingborg,Beauty,Skincare,Card,Organic,2,15.75,0.082,2.0,No
O2025103,2025-04-05,C1107,Consumer,VIP,South,Malmo,Home,Kitchen,PayPal,Paid Search,1,93.84,0.165,3.0,No
O2025104,2025-03-11,C1030,Small Business,Returning,North,Stockholm,Fashion,Jackets,Card,Organic,1,133.28,0.036,2.0,No
O2025105,2025-02-21,C1140,Small Business,Returning,West,Boras,Electronics,Headphones,Card,Social,1,99.58,0.049,,No
O2025106,2025-04-29,C1102,Small Business,Returning,West,Gothenburg,Home,Lighting,Card,Paid Search,1,145.51,0.03,3.0,No
O2025107,2025-07-13,C1216,Consumer,VIP,West,Halmstad,Sports,Team Sports,Gift Card,Direct,2,92.25,0.097,2.0,No
O2025108,2025-04-14,C1139,Consumer,Returning,West,Boras,Beauty,Skincare,Card ,Affiliate,1,35.0,0.024,6.0,No
O2025109,2025-01-07,C1034,Small Business,Returning,East,Orebro,Fashion,Jackets,Invoice,Direct,1,199.09,0.008,4.0,No
O2025110,2025-09-23,C1223,Corporate,Returning,West,Gothenburg,Home,Kitchen,Card,Direct,1,100.88,0.066,4.0,No
O2025111,2025-11-09,C1146,Corporate,New,North,Uppsala,Electronics,Mobile,Card,Email,1,455.35,0.215,2.0,No
O2025112,2025-02-06,C1221,Consumer,Returning,West,Halmstad,Electronics,Mobile,Card,Paid Search,1,512.02,0.213,4.0,No
O2025113,2025-11-25,C1235,Small Business,Returning,North,Stockholm,Sports,Team Sports,Card,Email,2,51.59,0.123,2.0,No
O2025114,2025-06-14,C1159,Consumer,Returning,East,Norrkoping,Electronics,Laptop,Card ,Email,1,605.56,0.066,3.0,No
O2025115,2025-06-02,C1100,Small Business,New,West,Gothenburg,Home,Kitchen,Gift Card,Social,1,73.85,0.071,4.0,No
O2025116,2025-02-02,C1242,Small Business,New,East,Linkoping ,Sports,Outdoor,Swish,Paid Search,2,199.23,0.109,5.0,No
O2025117,2025-06-29,C1024,Consumer,New,West,Halmstad,Sports,Fitness,Swish,Social Media,2,301.75,0.096,,Yes
O2025118,2025-02-04,C1195,Consumer,Returning,South,Malmo,Electronics,Laptop,Card,,1,1149.64,0.104,4.0,No
O2025119,2025-12-01,C1110,Corporate,Returning,East,Norrkoping,Fashion,Shoes,Card,Organic,1,109.02,0.019,5.0,No
O2025120,2025-06-02,C1250,Corporate,Returning,North,Uppsala,Sports,Outdoor,Invoice,Organic,3,134.08,0.074,3.0,No
O2025121,2025-04-26,C1068,Consumer,New,East,Linkoping,Electronics,Laptop,Swish,Paid Search,1,926.43,0.052,5.0,No
O2025122,2025-07-25,C1018,Small Business,Returning,West,Gothenburg,Beauty,Haircare,Invoice,Email,2,42.21,0.141,2.0,No
O2025123,2025-09-18,C1027,Small Business,Returning,North,Stockholm,Fashion,Jackets,Card,Organic,1,200.25,0.0,2.0,No
O2025124,2025-11-15,C1084,Corporate,VIP,East,Linkoping,Home,Kitchen,,Organic,1,133.4,0.145,6.0,No
O2025125,2025-02-07,C1088,Consumer,New,South,Malmo,Electronics,Tablet,Card,Organic,1,552.43,0.12,5.0,No
O2025126,2025-12-13,C1217,Small Business,New,North,Uppsala,Home,Furniture,Invoice,Email,1,341.61,0.087,3.0,No
O2025127,2025-12-31,C1200,Consumer,Returning,North,Uppsala,Fashion,Jackets,Card,Affiliate,1,147.19,0.074,4.0,No
O2025128,2025-12-19,C1208,Consumer,Returning,North,Stockholm,Fashion,Jackets,Swish,Paid Search,1,170.56,0.0,3.0,No
O2025129,2025-06-12,C1196,Consumer,VIP,West,Boras,Beauty,Skincare,Swish,Direct,1,65.43,0.144,2.0,No
O2025130,2025-01-14,C1183,Small Business,New,North,Vasteras,Electronics,Headphones,Card,Organic,2,174.59,0.089,2.0,No
O2025131,2025-03-20,C1079,Consumer,VIP,East,Linkoping,Electronics,Mobile,Gift Card,Social,1,413.44,0.116,5.0,No
O2025132,2025-09-23,C1226,Consumer,Returning,North,Vasteras,Fashion,Jackets,Gift Card,Direct,1,224.23,0.009,3.0,No
O2025133,2025-10-06,C1091,Corporate,VIP,South,Malmo,Electronics,Mobile,Card,Organic,1,365.34,0.152,5.0,No
O2025134,2025-10-06,C1103,Consumer,New,North,Vasteras,Electronics,Tablet,Card ,Paid Search,1,272.22,0.125,4.0,No
O2025135,2025-02-04,C1179,Consumer,Returning,East,Orebro,Home,Decor,Swish,Organic,1,96.17,0.023,7.0,Yes
O2025136,2025-07-27,C1257,Consumer,Returning,North,Uppsala,Electronics,Tablet,Card,Affiliate,1,481.37,0.074,4.0,No
O2025137,2025-11-20,C1127,Small Business,VIP,West,Gothenburg,Beauty,Makeup,PayPal,Paid Search,2,52.19,0.145,4.0,No
O2025138,2025-02-24,C1215,Consumer,Returning,North,Stockholm,Fashion,Jackets,Card,Email,1,232.89,0.0,3.0,No
O2025139,2025-03-19,C1156,Consumer,New,West,Gothenburg,Sports,Team Sports,Card,Organic,1,102.82,0.043,7.0,Yes
O2025140,2025-11-06,C1087,Consumer,Returning,West,Halmstad,Sports,Team Sports,Card,Direct,1,119.35,0.012,5.0,No
O2025141,2025-05-12,C1159,Consumer,Returning,South,Malmo,Sports,Cycling,Invoice,Organic,2,442.96,0.053,5.0,No
O2025142,2025-07-16,C1177,Small Business,Returning,East,Linkoping,Home,Furniture,Invoice,Organic,1,1075.62,0.005,6.0,Yes
O2025143,2025-07-16,C1025,Consumer,Returning,North,Uppsala,Electronics,Mobile,Swish,Organic,2,127.29,0.042,3.0,No
O2025144,2025-11-22,C1186,Corporate,Returning,North,Uppsala,Home,Lighting,Card,Social,2,79.56,0.038,1.0,No
O2025145,2025-09-12,C1001,Consumer,VIP,West,Halmstad,Fashion,Shoes,Invoice,Email,1,94.53,0.149,3.0,No
O2025146,2025-03-11,C1166,Consumer,New,South,Helsingborg,Fashion,Sportswear,Invoice,Email,1,43.87,0.0,3.0,Yes
O2025147,2025-07-16,C1103,Consumer,New,North,Vasteras,Sports,Cycling,Card,Paid Search,2,951.35,0.101,1.0,No
O2025148,2025-05-16,C1135,Consumer,Returning,North,Stockholm,Electronics,Tablet,Invoice,Direct,1,844.96,0.113,1.0,No
O2025149,2025-02-22,C1009,Consumer,Returning,South,Helsingborg,Sports,Team Sports,Card,Email,2,65.51,0.092,4.0,No
O2025150,2025-12-28,C1143,Corporate,VIP,South,Helsingborg,Sports,Cycling,Swish,Direct,1,588.38,0.093,3.0,No
O2025151,2025-07-01,C1171,Small Business,Returning,West,Halmstad,Fashion,Sportswear,card,Organic,1,73.07,0.0,1.0,No
O2025152,2025-01-08,C1058,Consumer,New,North,Stockholm,Electronics,Laptop,PayPal,Social,1,1265.49,0.023,4.0,No
O2025153,2025-03-01,C1246,Small Business,Returning,West,Boras,Fashion,Sportswear,Gift Card,Organic,1,111.34,0.005,3.0,No
O2025154,2025-05-01,C1003,Corporate,Returning,East,Norrkoping,Fashion,Shoes,Card,Direct,1,109.92,0.071,3.0,No
O2025155,2025-06-09,C1063,Consumer,Returning,East,Linkoping,Beauty,Makeup,Card,Organic,1,66.48,0.08,5.0,No
O2025156,2025-08-13,C1176,Small Business,Returning,North,Stockholm,Fashion,Accessories,Swish,Organic,1,35.98,0.072,3.0,No
O2025157,2025-08-09,C1166,Consumer,New,South,Helsingborg,Fashion,Sportswear,Card,Affiliate,1,83.97,0.133,3.0,No
O2025158,2025-05-10,C1019,Consumer,New,South,Lund,Electronics,Headphones,Card,Paid Search,1,147.48,0.082,4.0,No
O2025159,2025-06-12,C1224,Corporate,Returning,East,Linkoping,Beauty,Skincare,Gift Card,Direct,1,66.06,0.056,4.0,No
O2025160,2025-09-15,C1195,Consumer,Returning,North,Uppsala,Home,Decor,Swish,Direct,1,43.02,0.0,5.0,No
O2025161,2025-02-19,C1128,Consumer,Returning,North,Stockholm,Beauty,Haircare,Card,Direct,3,35.55,0.085,2.0,No
O2025162,2025-10-28,C1185,Small Business,New,South,Lund,Home,Decor,PayPal,Paid Search,1,101.0,0.066,,No
O2025163,2025-03-30,C1120,Small Business,New,North,Stockholm,Beauty,Makeup,PayPal,Paid Search,2,46.7,0.12,3.0,No
O2025164,2025-03-14,C1239,Corporate,Returning,South,Helsingborg,Beauty,Fragrance,Swish,Affiliate,4,89.28,0.051,5.0,No
O2025165,2025-05-30,C1147,Consumer,Returning,West,Boras,Home,Kitchen,Invoice,Organic,1,128.19,0.0,4.0,Yes
O2025166,2025-11-03,C1192,Corporate,Returning,West,Gothenburg,Fashion,Accessories,Invoice,Paid Search,1,39.12,0.07,4.0,No
O2025167,2025-09-11,C1193,Corporate,Returning,North,Uppsala,Sports,Cycling,Swish,Email,1,569.6,0.188,,No
O2025168,2025-11-08,C1126,Consumer,Returning,North,Stockholm,Home,Decor,Card,Direct,2,113.51,0.088,4.0,No
O2025169,2025-12-08,C1226,Consumer,Returning,North,Vasteras,Fashion,Shoes,PayPal,,2,76.51,0.152,2.0,No
O2025170,2025-05-22,C1208,Consumer,Returning,North,Stockholm,Home,Lighting,Invoice,Organic,1,224.33,0.017,4.0,No
O2025171,2025-07-08,C1133,Small Business,VIP,North,Vasteras,Home,Decor,Card,Affiliate,1,49.28,0.1,4.0,Yes
O2025172,2025-05-30,C1183,Small Business,New,North,Vasteras,Home,Kitchen,Invoice,Organic,1,139.41,0.103,5.0,Yes
O2025173,2025-04-21,C1219,Consumer,New,West,Gothenburg ,Sports,Team Sports,Invoice,,2,50.43,0.03,5.0,No
O2025174,2025-05-12,C1138,Consumer,New,South,Lund,Beauty,Fragrance,Swish,social,2,111.58,0.046,4.0,No
O2025175,2025-08-12,C1026,Small Business,Returning,South,Malmo,Electronics,Headphones,Gift Card,Affiliate,1,169.43,,4.0,No
O2025176,2025-12-11,C1040,Consumer,Returning,East,Linkoping,Home,Furniture,Card,Organic,1,764.86,0.082,,No
O2025177,2025-03-22,C1091,Corporate,VIP,South,Malmo,Sports,Fitness,Swish,Email,1,167.62,0.057,2.0,No
O2025178,2025-09-08,C1210,Small Business,New,North,,Fashion,Sportswear,Gift Card,Social,1,63.56,0.096,2.0,No
O2025179,2025-08-10,C1030,Small Business,Returning,North,Stockholm,Home,Decor,,Organic,1,73.25,0.0,5.0,Yes
O2025180,2025-09-24,C1123,Small Business,Returning,East,Orebro,Fashion,Accessories,Swish,Email,1,54.58,0.152,3.0,No
O2025181,2025-12-06,C1192,Corporate,Returning,West,Gothenburg ,Electronics,Tablet,Invoice,Paid Search,1,795.37,0.118,,No
O2025182,2025-10-24,C1247,Corporate,Returning,West,Gothenburg,Home,Decor,Card,Paid Search,1,73.4,0.145,4.0,No
O2025183,2025-11-20,C1060,Small Business,Returning,West,Halmstad,Home,Kitchen,Swish,Email,1,102.02,0.053,4.0,No
O2025184,2025-03-14,C1194,Consumer,New,North,Uppsala,Home,Decor,Card,Email,1,68.91,0.152,3.0,No
O2025185,2025-07-11,C1058,Consumer,New,North,stockholm,Fashion,Shoes,Card,Organic,1,61.84,0.023,2.0,Yes
O2025186,2025-02-15,C1042,Consumer,Returning,North,Uppsala,Fashion,Jackets,Gift Card,Organic,1,92.96,0.0,3.0,No
O2025187,2025-05-01,C1229,Corporate,Returning,North,Stockholm,Fashion,Sportswear,Card,direct,4,64.37,0.0,3.0,No
O2025188,2025-06-09,C1242,Small Business,New,East,Linkoping,Beauty,Makeup,PayPal,Organic,2,64.44,0.013,3.0,No
O2025189,2025-05-19,C1134,Consumer,Returning,South,Malmo,Fashion,Accessories,Card,,1,66.46,0.051,6.0,Yes
O2025190,2025-11-15,C1041,Consumer,Returning,South,Lund,Electronics,Mobile,Swish,Email,1,325.99,0.025,5.0,No
O2025191,2025-08-04,C1186,Corporate,Returning,North,Uppsala,Fashion,Sportswear,Card,Organic,1,59.94,0.0,1.0,No
O2025192,2025-12-28,C1043,Corporate,New,West,Halmstad,Home,Furniture,Card,Direct,2,1000.98,0.06,5.0,No
O2025193,2025-04-29,C1206,Consumer,New,East,Orebro,Electronics,Headphones,Card,Direct,1,140.21,0.079,5.0,No
O2025194,2025-05-04,C1083,Consumer,VIP,North,Vasteras,Fashion,Sportswear,PayPal,Organic,1,78.55,0.121,,No
O2025195,2025-03-08,C1176,Small Business,Returning,North,Stockholm,Beauty,Haircare,Invoice,Organic,1,39.29,0.113,1.0,Yes
O2025196,2025-12-18,C1142,Small Business,Returning,South,Helsingborg,Fashion,Accessories,Invoice,Paid Search,2,58.48,0.002,3.0,No
O2025197,2025-10-16,C1222,Consumer,Returning,East,Linkoping,Beauty,Fragrance,Card,Social,1,12.25,0.024,3.0,No
O2025198,2025-05-02,C1020,Consumer,Returning,East,Linkoping,Home,Kitchen,Swish,Email,2,184.0,0.17,4.0,No
O2025199,2025-11-21,C1113,Small Business,Returning,South,Lund,Sports,Fitness,Card,Email,1,158.55,0.111,6.0,No
O2025200,2025-08-22,C1098,Small Business,Returning,West,Halmstad,Electronics,Laptop,Invoice,Social,1,1452.48,0.039,5.0,No
O2025201,2025-04-03,C1233,Corporate,Returning,West,Halmstad,Sports,Outdoor,,Social,1,135.1,0.132,3.0,Yes
O2025202,2025-10-29,C1168,Consumer,New,East,Orebro,Fashion,Sportswear,Card,Organic,1,95.89,0.095,5.0,No
O2025203,2025-06-30,C1042,Consumer,Returning,North,Uppsala,Fashion,Sportswear,Card,Social,1,56.12,,4.0,No
O2025204,2025-07-16,C1188,Small Business,Returning,North,Uppsala,Beauty,Haircare,Card,Email,1,47.72,0.242,2.0,No
O2025205,2025-05-04,C1213,Consumer,Returning,West,Boras,Electronics,Tablet,PayPal,Direct,1,698.01,,1.0,No
O2025206,2025-02-17,C1121,Small Business,Returning,North,Stockholm,Home,Kitchen,Gift Card,Organic,1,149.43,0.051,4.0,No
O2025207,2025-07-31,C1086,Consumer,Returning,South,Helsingborg,Electronics,Mobile,Swish,Social,1,408.49,0.09,4.0,No
O2025208,2025-12-09,C1198,Consumer,VIP,South,Helsingborg,Home,Decor,Card,Email,1,98.07,0.17,4.0,No
O2025209,2025-04-03,C1033,Small Business,Returning,South,Helsingborg,Beauty,Skincare,Swish,Organic,3,42.91,,7.0,Yes
O2025210,2025-06-05,C1018,Small Business,Returning,West,Gothenburg,Home,Lighting,Swish,Organic,1,263.84,0.048,2.0,No
